subj_idx,valence,condition,CR,hit,FA,miss,hitR,faR,dprime
34,square,image_first,40,40,0,0,0.9875,0.0125,4.482805455209891
34,square,simultaneous,36,39,3,1,0.975,0.07692307692307693,3.386040856812901
34,square,word_first,39,40,1,0,0.9875,0.025,4.201366712145
34,triangle,image_first,38,40,2,0,0.9875,0.05,3.8862563545564193
34,triangle,simultaneous,34,34,6,4,0.8947368421052632,0.15,2.2885529097590087
34,triangle,word_first,40,40,0,0,0.9875,0.0125,4.482805455209891
35,circle,image_first,35,40,5,0,0.9875,0.125,3.3917521079809543
35,circle,simultaneous,39,39,1,1,0.975,0.025,3.919927969080107
35,circle,word_first,39,36,1,4,0.9,0.025,3.241515550084655
35,square,image_first,40,34,0,6,0.85,0.0125,3.277836117098734
35,square,simultaneous,38,37,2,3,0.925,0.05,3.0843850978899283
35,square,word_first,40,39,0,1,0.975,0.0125,4.201366712144998
35,triangle,image_first,38,36,2,4,0.9,0.05,2.9264051924960732
35,triangle,simultaneous,37,38,3,2,0.95,0.075,3.0843850978899274
35,triangle,word_first,35,35,5,5,0.875,0.125,2.3006987607520157
36,circle,image_first,39,40,1,0,0.9875,0.025,4.201366712145
36,circle,simultaneous,37,38,3,1,0.9743589743589743,0.075,3.388643467878343
36,circle,word_first,39,38,1,1,0.9743589743589743,0.025,3.909075981479941
36,square,image_first,36,37,4,3,0.925,0.1,2.7210830364830567
36,square,simultaneous,36,27,2,12,0.6923076923076923,0.05263157894736842,2.122258482011625
36,square,word_first,39,36,1,4,0.9,0.025,3.241515550084655
36,triangle,image_first,39,37,1,3,0.925,0.025,3.39949545547851
36,triangle,simultaneous,32,39,5,0,0.9871794871794872,0.13513513513513514,3.334046202276089
36,triangle,word_first,39,39,1,0,0.9871794871794872,0.025,4.1915698198009785
37,circle,image_first,31,37,9,3,0.925,0.225,2.1949464972989254
37,circle,simultaneous,37,37,3,3,0.925,0.075,2.879062941876912
37,circle,word_first,33,36,7,3,0.9230769230769231,0.175,2.360666163346328
37,square,image_first,37,38,3,2,0.95,0.075,3.0843850978899274
37,square,simultaneous,33,40,7,0,0.9875,0.175,3.1759920186784267
37,square,word_first,35,39,5,1,0.975,0.125,3.1103133649160615
37,triangle,image_first,37,33,3,7,0.825,0.075,2.3741207620119353
37,triangle,simultaneous,37,31,3,9,0.775,0.075,2.194946497298925
37,triangle,word_first,35,30,5,10,0.75,0.125,1.8248391305720895
38,circle,image_first,39,39,1,1,0.975,0.025,3.919927969080107
38,circle,simultaneous,40,39,0,1,0.975,0.0125,4.201366712144998
38,circle,word_first,38,36,1,3,0.9230769230769231,0.02564102564102564,3.3751888692127356
38,square,image_first,38,38,1,1,0.9743589743589743,0.02564102564102564,3.8982239938797747
38,square,simultaneous,37,40,3,0,0.9875,0.075,3.680934198543402
38,square,word_first,40,40,0,0,0.9875,0.0125,4.482805455209891
38,triangle,image_first,38,31,2,8,0.7948717948717948,0.05,2.4682961141752906
38,triangle,simultaneous,36,37,3,3,0.925,0.07692307692307693,2.865608343211303
38,triangle,word_first,39,34,1,6,0.85,0.025,2.996397374033843
39,circle,image_first,35,36,5,3,0.9230769230769231,0.125,2.5764262526488557
39,circle,simultaneous,33,33,6,6,0.8461538461538461,0.15384615384615385,2.0401524655724033
39,circle,word_first,38,39,2,1,0.975,0.05,3.6048176114915265
39,square,image_first,33,39,7,1,0.975,0.175,2.894553275613534
39,square,simultaneous,29,30,9,9,0.7692307692307693,0.23684210526315788,1.452813417554121
39,square,word_first,36,33,4,7,0.825,0.1,2.2161408566180807
39,triangle,image_first,29,36,10,3,0.9230769230769231,0.2564102564102564,2.0805290730048513
39,triangle,simultaneous,31,36,7,4,0.9,0.18421052631578946,2.1809864732118345
39,triangle,word_first,34,34,6,5,0.8717948717948718,0.15,2.1713500074872805
40,circle,image_first,39,39,1,1,0.975,0.025,3.919927969080107
40,circle,simultaneous,40,35,0,5,0.875,0.0125,3.3917521079809525
40,circle,word_first,40,35,0,5,0.875,0.0125,3.3917521079809525
40,square,image_first,36,40,4,0,0.9875,0.1,3.5229542931495472
40,square,simultaneous,39,36,1,4,0.9,0.025,3.241515550084655
40,square,word_first,40,36,0,4,0.9,0.0125,3.5229542931495454
40,triangle,image_first,39,40,1,0,0.9875,0.025,4.201366712145
40,triangle,simultaneous,39,38,1,2,0.95,0.025,3.6048176114915256
40,triangle,word_first,38,38,2,2,0.95,0.05,3.289707253902944
